T,o,h,l,c,v
1609459200000.0,28923.6,29017.5,28690.2,28752.8,840.0772
1609460100000.0,28752.80078125,28875.5,28720.900390625,28836.599609375,480.6111145019531
1609461000000.0,28836.6,28943.9,28836.6,28930.1,471.13475
1609461900000.0,28930.099609375,29031.30078125,28890.0,28995.099609375,519.9879150390625
1609462800000.0,28995.1,29385.0,28960.3,29382.6,1735.8387
1609463700000.0,29385.0,29417.9,29241.5,29385.4,1713.2781
1609464600000.0,29387.1,29470.0,29312.2,29319.9,1333.7223
1609465500000.0,29320.7,29430.8,29311.8,29410.0,620.2277
1609466400000.0,29410.0,29465.3,29201.8,29248.7,741.6914
1609467300000.0,29248.69921875,29388.19921875,29240.400390625,29298.900390625,502.9330139160156
1609468200000.0,29298.9,29300.0,29120.0,29265.7,698.746
1609469100000.0,29264.9,29341.2,29151.4,29194.7,440.8611
1609470000000.0,29195.3,29287.5,29193.5,29263.8,323.39457
1609470900000.0,29263.80078125,29311.0,29150.0,29215.80078125,368.9934997558594
1609471800000.0,29216.0,29367.0,29190.80078125,29277.0,468.4248046875
1609472700000.0,29277.0,29321.6,29241.6,29278.4,300.53218
1609473600000.0,29278.4,29342.7,29278.4,29289.1,378.7974
1609474500000.0,29290.2,29395.0,29290.2,29332.8,493.11809999999997
1609475400000.0,29332.8,29373.6,29029.4,29172.6,868.63422
1609476300000.0,29172.6,29236.9,29172.6,29220.3,297.4967
1609477200000.0,29220.3,29235.3,29084.1,29126.6,599.34209
1609478100000.0,29125.7,29195.3,29116.0,29161.3,274.16143
1609479000000.0,29161.3,29205.7,29113.8,29178.6,320.4676
1609479900000.0,29178.599609375,29213.400390625,29138.30078125,29187.0,275.9850769042969
1609480800000.0,29187.0,29270.0,29187.0,29213.3,332.62596
1609481700000.0,29213.3,29233.0,29100.0,29100.0,330.69968
1609482600000.0,29100.0,29202.69921875,29100.0,29191.900390625,321.41290283203125
1609483500000.0,29191.9,29205.8,29077.3,29174.3,435.98805999999996
1609484400000.0,29174.3,29192.0,28806.5,28930.9,1169.1974
1609485300000.0,28930.9,29040.6,28909.5,29018.8,560.6426
1609486200000.0,29018.80078125,29096.80078125,29000.0,29085.5,375.70379638671875
1609487100000.0,29085.5,29101.0,29043.1,29092.8,274.63737
1609488000000.0,29092.8,29178.0,28978.5,29006.7,529.3882
1609488900000.0,29006.5,29045.4,28872.2,29033.9,640.8358
1609489800000.0,29033.9,29122.0,28957.5,28981.7,439.55989999999997
1609490700000.0,28981.69921875,29077.0,28931.30078125,29000.0,398.3822937011719
1609491600000.0,29000.0,29145.599609375,28970.0,29126.400390625,439.4607849121094
1609492500000.0,29126.5,29236.0,29076.4,29181.1,652.9150999999999
1609493400000.0,29181.099609375,29307.69921875,29174.5,29226.69921875,526.4863891601562
1609494300000.0,29226.7,29278.0,29184.9,29202.2,403.1934
1609495200000.0,29202.2,29310.5,29152.9,29278.7,531.6252
1609496100000.0,29278.7,29345.0,29200.0,29221.7,582.6529
1609497000000.0,29221.69921875,29311.0,29200.0,29266.5,379.8587951660156
1609497900000.0,29266.5,29298.0,29200.19921875,29223.80078125,450.1191101074219
1609498800000.0,29223.80078125,29338.900390625,29212.400390625,29299.19921875,589.669677734375
1609499700000.0,29299.19921875,29376.0,29256.5,29366.30078125,700.5776977539062
1609500600000.0,29368.900390625,29402.599609375,29250.0,29279.69921875,664.7797241210938
1609501500000.0,29279.3,29313.5,29238.5,29313.5,354.20065
1609502400000.0,29313.5,29325.5,29186.599609375,29260.0,438.2674255371094
1609503300000.0,29260.0,29448.0,29240.0,29443.69921875,681.2791748046875
1609504200000.0,29443.7,29600.0,29420.0,29492.6,1813.291
1609505100000.0,29492.6,29500.0,29150.0,29233.5,1259.0777
1609506000000.0,29233.5,29385.0,29200.0,29383.8,638.7532
1609506900000.0,29385.0,29420.0,29300.1,29389.4,586.7221
1609507800000.0,29389.4,29420.0,29354.7,29393.9,447.1566
1609508700000.0,29393.9,29470.0,29393.9,29464.8,538.6665
1609509600000.0,29464.8,29530.0,29356.0,29451.2,909.1848
1609510500000.0,29451.2,29467.8,29378.6,29415.9,587.9435
1609511400000.0,29416.0,29440.1,29320.0,29397.8,529.3828
1609512300000.0,29397.9,29403.7,29266.2,29327.8,586.1611
1609513200000.0,29327.8,29391.0,29250.7,29350.0,551.1484
1609514100000.0,29350.0,29370.0,29223.0,29297.0,700.544189453125
1609515000000.0,29297.0,29297.0,29030.1,29125.4,1100.4593
1609515900000.0,29125.4,29237.8,29125.4,29188.7,426.91083000000003
1609516800000.0,29188.69921875,29260.0,29125.0,29220.599609375,533.6972045898438
1609517700000.0,29220.6,29325.0,29218.6,29277.1,329.95982
1609518600000.0,29277.1,29312.2,29249.2,29295.1,294.56383
1609519500000.0,29295.099609375,29360.0,29273.30078125,29300.599609375,332.1086730957031
1609520400000.0,29300.80078125,29321.30078125,29249.19921875,29304.900390625,320.7867431640625
1609521300000.0,29304.900390625,29339.80078125,29230.0,29277.30078125,358.18084716796875
1609522200000.0,29277.19921875,29277.19921875,29115.0,29166.0,632.1776733398438
1609523100000.0,29164.2,29164.2,28937.0,29079.6,1193.8319000000001
1609524000000.0,29077.6,29260.0,28984.8,29221.1,774.9181
1609524900000.0,29221.099609375,29235.0,29007.099609375,29021.900390625,633.5545043945312
1609525800000.0,29021.9,29103.2,28850.0,28880.0,1149.4228
1609526700000.0,28880.0,29091.5,28624.6,29072.7,1668.5356
1609527600000.0,29072.7,29072.7,28950.0,29013.5,578.502
1609528500000.0,29013.5,29125.30078125,28982.099609375,29055.099609375,421.28350830078125
1609529400000.0,29055.1,29116.5,29025.0,29092.8,232.3343
1609530300000.0,29092.8,29125.3,29002.1,29029.0,397.10880000000003
1609531200000.0,29029.0,29160.0,28880.4,29160.0,681.0309
1609532100000.0,29160.0,29245.19921875,29139.30078125,29212.599609375,458.4344787597656
1609533000000.0,29212.599609375,29220.900390625,29151.5,29173.900390625,371.37042236328125
1609533900000.0,29173.900390625,29279.69921875,29146.599609375,29201.0,327.71380615234375
1609534800000.0,29201.0,29234.8,29181.2,29191.5,314.27719
1609535700000.0,29191.5,29240.0,29164.7,29225.8,386.8696
1609536600000.0,29225.8,29289.8,29213.8,29219.6,506.90833
1609537500000.0,29219.6,29229.5,29130.0,29160.4,239.17483
1609538400000.0,29163.2,29242.1,29104.6,29233.9,267.80091
1609539300000.0,29233.9,29303.6,29228.2,29270.9,364.17539
1609540200000.0,29270.9,29326.7,29233.0,29292.9,318.88895
1609541100000.0,29296.7,29305.0,29245.7,29262.3,176.17083
1609542000000.0,29262.3,29300.0,29236.4,29255.6,218.94438
1609542900000.0,29255.900390625,29309.900390625,29228.099609375,29276.30078125,228.11776733398438
1609543800000.0,29276.19921875,29328.0,29267.599609375,29276.80078125,263.9559326171875
1609544700000.0,29276.8,29338.9,29252.6,29331.7,260.10541
1609545600000.0,29331.69921875,29338.599609375,29199.19921875,29309.5,504.34051513671875
1609546500000.0,29309.5,29309.5,28946.5,29032.2,1216.3849
1609547400000.0,29032.2,29197.5,28977.5,29189.6,609.55263
1609548300000.0,29189.6,29204.7,29127.6,29197.5,307.88183
1609549200000.0,29197.9,29202.7,29100.0,29109.7,416.1557
1609550100000.0,29109.69921875,29235.0,29109.69921875,29208.5,321.3379211425781
1609551000000.0,29208.5,29385.0,29201.400390625,29349.30078125,587.8341064453125
1609551900000.0,29349.3,29400.0,29316.6,29359.5,566.6701
1609552800000.0,29359.5,29413.0,29323.7,29398.3,382.0128
1609553700000.0,29398.3,29469.0,29354.6,29414.2,595.7603
1609554600000.0,29414.3,29425.6,29340.0,29364.3,432.85580000000004
1609555500000.0,29364.30078125,29399.0,29320.0,29323.80078125,294.2012939453125
1609556400000.0,29323.8,29382.5,29280.0,29369.8,422.39858000000004
1609557300000.0,29368.2,29368.2,29300.0,29312.2,284.8544
1609558200000.0,29311.2,29340.0,29256.8,29281.4,289.12513
1609559100000.0,29281.7,29361.6,29281.7,29352.0,161.66333
1609560000000.0,29352.0,29363.400390625,29220.0,29256.80078125,298.1473388671875
