T,o,h,l,c,v
1609459200000,28923.599609375,29031.30078125,28690.19921875,28995.099609375,2311.81103515625
1609462800000,28995.1,29470.0,28960.3,29410.0,5403.0668000000005
1609466400000,29410.0,29465.3,29120.0,29194.7,2384.2315
1609470000000,29195.3,29367.0,29150.0,29278.4,1461.34505
1609473600000,29278.4,29395.0,29029.4,29220.3,2038.04642
1609477200000,29220.30078125,29235.30078125,29084.099609375,29187.0,1469.9561767578125
1609480800000,29187.0,29270.0,29077.3,29174.3,1420.72659
1609484400000,29174.3,29192.0,28806.5,29092.8,2380.18117
1609488000000,29092.80078125,29178.0,28872.19921875,29000.0,2008.166259765625
1609491600000,29000.0,29307.69921875,28970.0,29202.19921875,2022.0556640625
1609495200000,29202.19921875,29345.0,29152.900390625,29223.80078125,1944.2559814453125
1609498800000,29223.8,29402.6,29212.4,29313.5,2309.22775
1609502400000,29313.5,29600.0,29150.0,29233.5,4191.91532
1609506000000,29233.5,29470.0,29200.0,29464.8,2211.2984
1609509600000,29464.8,29530.0,29266.2,29327.8,2612.6722
1609513200000,29327.8,29391.0,29030.1,29188.7,2779.06273
1609516800000,29188.69921875,29360.0,29125.0,29300.599609375,1490.3294677734375
1609520400000,29300.8,29339.8,28937.0,29079.6,2504.9772000000003
1609524000000,29077.6,29260.0,28624.6,29072.7,4226.431
1609527600000,29072.7,29125.3,28950.0,29029.0,1629.2286
1609531200000,29029.0,29279.69921875,28880.400390625,29201.0,1838.549560546875
1609534800000,29201.0,29289.80078125,29130.0,29160.400390625,1447.22998046875
1609538400000,29163.2,29326.7,29104.6,29262.3,1127.03608
1609542000000,29262.3,29338.9,29228.1,29331.7,971.12349
1609545600000,29331.69921875,29338.599609375,28946.5,29197.5,2638.159912109375
1609549200000,29197.900390625,29400.0,29100.0,29359.5,1891.997802734375
1609552800000,29359.5,29469.0,29320.0,29323.80078125,1704.8302001953125
1609556400000,29323.8,29382.5,29256.8,29352.0,1158.04144
1609560000000,29352.0,29396.0,29220.0,29349.599609375,988.7113647460938
1609563600000,29349.6,29590.0,29349.6,29590.0,2778.87868
1609567200000,29590.0,29745.0,29450.0,29709.1,3030.2392
1609570800000,29709.1,29820.5,29623.3,29750.0,3067.8132
1609574400000,29751.5,29849.1,29640.0,29844.5,2358.08854
1609578000000,29844.5,29899.0,29578.0,29612.900390625,3188.4970703125
1609581600000,29612.900390625,29829.0,29473.900390625,29681.0,2315.1826171875
1609585200000,29679.5,29780.5,29622.8,29755.0,1365.03673
1609588800000,29755.0,30888.0,29741.4,30604.0,12772.565200000001
1609592400000,30604.0,31561.9,30521.0,31541.2,9182.4282
1609596000000,31546.1,31567.9,31065.0,31290.5,6447.7849
1609599600000,31290.5,31800.0,31236.4,31691.3,5626.1929
1609603200000,31691.1,33000.0,31616.4,32482.3,15432.2795
1609606800000,32484.30078125,32935.0,32394.80078125,32857.0,6402.18017578125
1609610400000,32856.8984375,33300.0,32421.0,33000.0,7170.2939453125
1609614000000,33000.0,33220.0,32690.0,33027.2,5844.8559000000005
1609617600000,33027.19921875,33061.3984375,30550.0,30667.19921875,15733.2822265625
1609621200000,30669.4,32005.9,30300.0,31694.6,10395.1189
1609624800000,31693.5,32311.9,31425.0,32145.7,3879.0616999999997
1609628400000,32143.5,32246.7,31500.0,32178.3,4622.3404
1609632000000,32176.5,32497.8,31963.0,32447.9,3346.0623
1609635600000,32448.0,32790.1,32201.0,32585.1,3401.1523
1609639200000,32583.0,32884.1015625,32550.0,32741.69921875,2017.2098388671875
1609642800000,32741.69921875,32756.0,32404.0,32573.900390625,2125.880126953125
1609646400000,32576.1,33250.0,32450.0,33192.5,3436.0709
1609650000000,33192.5,34180.0,33109.3984375,33758.69921875,10355.068359375
1609653600000,33758.69921875,34110.1015625,33651.1015625,33967.1015625,4526.912109375
1609657200000,33967.1,34778.1,33737.2,34452.3,7968.0788
1609660800000,34451.8,34670.4,33757.3,34367.7,6146.7729
1609664400000,34367.3,34588.9,33800.0,34190.6,6052.6787
1609668000000,34190.0,34350.0,33403.0,33878.0,6335.2244
1609671600000,33878.0,34450.0,33787.6,34413.5,4116.8527
1609675200000,34413.5,34600.0,33928.80078125,34103.69921875,4546.283203125
1609678800000,34103.7,34385.0,33800.0,33880.0,4373.7390000000005
1609682400000,33878.0,34150.0,33450.0,33811.5,5928.8052
1609686000000,33811.5,33873.4,32727.0,33506.6,8391.2491
1609689600000,33505.19921875,33822.69921875,32650.0,32676.69921875,7983.7392578125
1609693200000,32676.8,33333.3,32454.7,32909.3,7447.8099
1609696800000,32907.5,33031.6,32267.0,32769.8,4707.1999
1609700400000,32769.8,32930.0,32455.7,32772.2,2288.4391
1609704000000,32775.1,33816.0,32727.1,33726.2,5420.6801
1609707600000,33725.7,33861.9,33506.0,33558.3,2123.0681
1609711200000,33559.1,33661.1,33000.0,33119.1,2841.0332
1609714800000,33119.1,33600.0,32600.0,33000.1,5077.5609
1609718400000,33000.1015625,33111.3984375,32400.30078125,32843.8984375,4792.20703125
1609722000000,32843.9,33327.0,32602.5,33191.0,3390.0244000000002
1609725600000,33191.1015625,33588.0,32958.3984375,33454.19921875,3180.350830078125
1609729200000,33454.2,33510.7,33160.0,33505.2,3174.2091
1609732800000,33505.2,33600.0,33186.1,33257.6,3167.0295
1609736400000,33257.6,33315.9,32802.3,32813.0,3990.6994
