,Time,ap,as,bp,bs
0,1649297770069,43287.95,1.11742,43287.94,1.02261
1,1649297770069,43287.98,0.6,43287.46,0.008
2,1649297770069,43288.31,0.00704,43287.31,0.01188
3,1649297770069,43288.54,0.49524,43286.33,0.0279
4,1649297770069,43289.68,0.44053,43286.24,0.15703
5,1649297770069,43289.69,0.52567,43285.8,0.06221
6,1649297770069,43289.95,1.5,43285.62,0.001
7,1649297770069,43291.1,0.40569,43285.12,1.20193
8,1649297770069,43291.11,0.85438,43284.74,0.39782
9,1649297770069,43291.37,0.62591,43284.73,0.21349
10,1649297770069,43291.47,0.5691,43284.66,0.69931
11,1649297770069,43292.08,0.45,43284.65,0.76186
12,1649297770069,43292.87,0.11946,43284.56,0.39457
13,1649297770069,43293.26,0.47014,43284.51,0.60002
14,1649297770069,43293.6,0.23105,43283.56,0.37
15,1649297770069,43293.87,0.11551,43282.72,0.04269
16,1649297770069,43294.03,0.74803,43282.69,0.32
17,1649297770069,43294.04,1.05754,43282.45,0.05844
18,1649297770069,43294.25,0.02309,43282.32,0.31187
19,1649297770069,43294.44,0.00361,43281.77,0.11551
0,1649297771070,43287.95,1.72038,43287.94,0.75261
1,1649297771070,43287.98,0.6,43287.46,0.008
2,1649297771070,43288.31,0.00704,43287.31,0.01188
3,1649297771070,43288.54,0.49524,43286.33,0.0279
4,1649297771070,43289.49,0.0609,43286.24,0.04152
5,1649297771070,43289.68,0.44053,43285.8,0.06221
6,1649297771070,43289.69,0.52567,43285.62,0.001
7,1649297771070,43289.95,1.5,43285.12,1.20193
8,1649297771070,43291.1,0.40569,43284.74,0.39782
9,1649297771070,43291.11,0.85438,43284.73,0.21349
10,1649297771070,43291.12,0.09388,43284.66,0.69931
11,1649297771070,43291.37,0.62591,43284.65,0.76186
12,1649297771070,43291.47,0.5691,43284.56,0.39457
13,1649297771070,43292.08,0.45,43284.51,0.60002
14,1649297771070,43292.87,0.00395,43283.56,0.37
15,1649297771070,43293.26,0.47014,43282.72,0.04269
16,1649297771070,43293.6,0.23105,43282.69,0.32
17,1649297771070,43293.87,0.11551,43282.45,0.05844
18,1649297771070,43294.03,0.74803,43282.32,0.31187
19,1649297771070,43294.04,1.05754,43281.77,0.11551
0,1649297772070,43287.95,0.58081,43287.94,2.20926
1,1649297772070,43287.98,0.6,43287.46,0.008
2,1649297772070,43288.31,0.00704,43287.31,0.01188
3,1649297772070,43288.54,0.49524,43286.56,0.14341
4,1649297772070,43289.45,0.17536,43286.24,0.04152
5,1649297772070,43289.68,0.44053,43285.8,0.06221
6,1649297772070,43289.69,0.52567,43285.62,0.001
7,1649297772070,43289.95,1.5,43285.12,1.20193
8,1649297772070,43291.1,0.40569,43284.74,0.39782
9,1649297772070,43291.11,0.85438,43284.73,0.21349
10,1649297772070,43291.37,0.62591,43284.66,0.69931
11,1649297772070,43291.47,0.5691,43284.65,0.76186
12,1649297772070,43292.08,0.45,43284.56,0.39457
13,1649297772070,43292.87,0.00395,43284.51,0.60002
14,1649297772070,43293.26,0.58565,43283.56,0.37
15,1649297772070,43293.6,0.23105,43282.72,0.04269
16,1649297772070,43293.87,0.11551,43282.69,0.32
17,1649297772070,43294.03,0.74803,43282.45,0.05844
18,1649297772070,43294.04,1.05754,43282.32,0.31187
19,1649297772070,43294.25,0.02309,43281.77,0.11551
0,1649297773070,43288.54,0.49524,43288.53,3.07525
1,1649297773070,43289.69,0.52567,43288.36,0.05444
2,1649297773070,43289.95,1.5,43288.19,0.0207
3,1649297773070,43291.1,0.58325,43287.98,0.33678
4,1649297773070,43291.11,0.85438,43287.97,2.23525
5,1649297773070,43291.37,0.62591,43287.94,0.45268
6,1649297773070,43291.47,0.5691,43287.46,0.008
7,1649297773070,43292.08,0.45,43287.31,0.01188
8,1649297773070,43292.87,0.00395,43286.95,0.42735
9,1649297773070,43293.26,0.47014,43286.56,0.0279
10,1649297773070,43293.6,0.23105,43286.24,0.04152
11,1649297773070,43294.25,0.02309,43285.8,0.06221
12,1649297773070,43294.44,0.00545,43285.62,0.001
13,1649297773070,43295.13,0.0231,43285.12,1.20193
14,1649297773070,43295.72,0.00047,43284.74,0.39782
15,1649297773070,43295.94,0.05,43284.73,0.21349
16,1649297773070,43296.33,0.00108,43284.66,0.69931
17,1649297773070,43296.89,0.01104,43284.65,0.31186
18,1649297773070,43296.94,0.1155,43284.56,0.39457
19,1649297773070,43297.73,0.36,43284.51,0.60002
0,1649297774069,43289.95,1.5,43289.94,2.75626
1,1649297774069,43289.98,0.6,43289.71,0.31182
2,1649297774069,43291.37,0.62591,43289.68,1.2
3,1649297774069,43291.47,0.5691,43288.92,0.1155
4,1649297774069,43292.87,0.00395,43288.54,0.2279
5,1649297774069,43293.6,0.23105,43288.53,0.96366
6,1649297774069,43293.84,0.45,43288.36,1.30614
7,1649297774069,43294.25,0.02309,43287.98,0.2279
8,1649297774069,43295.03,0.00272,43287.97,1.29661
9,1649297774069,43295.13,0.1155,43287.94,0.00268
10,1649297774069,43295.72,0.00047,43287.46,0.008
11,1649297774069,43295.94,0.05,43287.31,0.01188
12,1649297774069,43296.33,0.00108,43286.95,0.31184
13,1649297774069,43296.89,0.01104,43286.56,0.0279
14,1649297774069,43296.94,0.1155,43286.24,0.04152
15,1649297774069,43298.35,0.36,43285.8,0.06221
16,1649297774069,43298.64,0.00108,43285.62,0.001
17,1649297774069,43298.92,0.29999,43285.17,0.1155
18,1649297774069,43299.15,0.05,43285.12,1.20193
19,1649297774069,43299.33,0.74803,43284.74,0.39782
0,1649297775071,43289.95,1.48454,43289.94,3.36738
1,1649297775071,43289.98,0.6,43289.68,1.0155
2,1649297775071,43291.37,0.62591,43288.54,0.2279
3,1649297775071,43291.47,0.5691,43288.53,0.86371
4,1649297775071,43292.87,0.00395,43288.36,1.30614
5,1649297775071,43293.79,0.81542,43287.98,0.2279
6,1649297775071,43293.84,0.45,43287.97,1.19666
7,1649297775071,43294.25,0.02309,43287.94,0.00268
8,1649297775071,43295.72,0.00047,43287.46,0.008
9,1649297775071,43295.94,0.05,43287.31,0.01188
10,1649297775071,43296.33,0.11658,43286.95,0.31184
11,1649297775071,43296.89,0.01104,43286.56,0.0279
12,1649297775071,43296.94,0.1155,43286.24,0.04152
13,1649297775071,43298.35,0.36,43285.8,0.06221
14,1649297775071,43298.64,0.00108,43285.62,0.001
15,1649297775071,43298.92,0.29999,43285.17,0.1155
16,1649297775071,43299.33,0.74803,43285.12,1.20193
17,1649297775071,43299.34,1.16202,43284.74,0.39782
18,1649297775071,43299.66,0.23102,43284.73,0.21349
19,1649297775071,43299.67,0.23102,43284.66,1.06931
