T,bp,bs,ap,as
1649321610694,43488.43,12.05653,43488.44,0.07796
1649321610694,43488.41,0.05528,43490.0,0.02333
1649321610694,43488.39,0.20014,43490.03,0.00557
1649321610694,43488.01,0.3104,43490.28,0.01151
1649321610694,43488.0,0.17708,43490.29,0.0808
1649321610694,43485.92,0.10292,43490.5,1.02479
1649321610694,43485.7,0.31042,43490.56,0.00427
1649321610694,43484.99,0.11582,43490.73,1.01835
1649321610694,43484.5,0.75,43491.1,0.05536
1649321610694,43484.42,0.00375,43491.23,0.0144
1649321610694,43484.04,0.34487,43491.94,0.00259
1649321610694,43483.98,0.08921,43491.97,0.01246
1649321610694,43483.0,0.00097,43492.06,0.0005
1649321610694,43482.01,0.11497,43492.28,0.0023
1649321610694,43481.91,0.00825,43492.83,0.32
1649321610694,43481.89,0.04342,43493.0,0.01161
1649321610694,43481.79,0.31045,43493.33,0.75
1649321610694,43481.63,0.00045,43493.36,0.24
1649321610694,43481.62,0.04342,43494.14,0.32
1649321610694,43481.61,0.36,43494.47,0.23
1649321611695,43488.43,13.38015,43488.44,0.03412
1649321611695,43488.39,0.20014,43490.0,0.02333
1649321611695,43488.01,0.3104,43490.03,0.00557
1649321611695,43488.0,0.17708,43490.22,0.05115
1649321611695,43485.92,0.10292,43490.28,0.01151
1649321611695,43485.7,0.31042,43490.56,0.00427
1649321611695,43485.33,0.22993,43490.73,1.01835
1649321611695,43484.99,0.00085,43491.1,0.05536
1649321611695,43484.5,0.75,43491.23,0.0144
1649321611695,43484.42,0.00375,43491.94,0.00259
1649321611695,43484.28,0.06516,43491.97,0.01246
1649321611695,43484.04,0.34487,43492.06,0.0005
1649321611695,43483.98,0.08921,43492.28,0.0023
1649321611695,43483.0,0.00097,43492.82,0.51147
1649321611695,43481.91,0.00825,43492.83,0.32
1649321611695,43481.89,0.04342,43493.0,0.01161
1649321611695,43481.79,0.31045,43493.33,0.75
1649321611695,43481.63,0.00045,43493.36,0.24
1649321611695,43481.62,0.04342,43494.14,0.32
1649321611695,43481.61,0.36,43494.47,0.23
1649321613697,43495.58,6.63345,43495.59,0.2
1649321613697,43494.55,0.12581,43495.63,0.0003
1649321613697,43494.46,0.31033,43496.09,0.03
1649321613697,43494.45,0.25,43496.11,0.0034
1649321613697,43494.4,0.25,43496.68,0.00431
1649321613697,43494.39,0.17705,43497.0,0.00054
1649321613697,43494.22,0.37581,43497.12,0.0013
1649321613697,43492.06,0.76605,43497.37,0.08
1649321613697,43492.05,0.20389,43497.46,0.19563
1649321613697,43491.94,0.2732,43497.89,0.16
1649321613697,43491.93,1.72739,43498.33,0.08
1649321613697,43491.09,0.3,43498.76,0.08
1649321613697,43490.83,1.19577,43499.0,0.00025
1649321613697,43490.02,0.09342,43499.11,0.09
1649321613697,43490.0,0.2279,43499.87,0.75
1649321613697,43489.99,0.36301,43500.0,0.28993
1649321613697,43489.06,0.00731,43500.01,0.00147
1649321613697,43488.55,0.11496,43500.8,0.0008
1649321613697,43488.44,0.00026,43501.0,0.0009
1649321613697,43488.43,0.56652,43501.11,0.582
1649321614694,43499.12,7.29967,43499.13,0.08898
1649321614694,43498.68,0.05714,43499.95,0.00426
1649321614694,43498.28,0.31033,43500.0,0.28993
1649321614694,43498.27,0.75,43500.01,0.01092
1649321614694,43496.99,0.3,43500.8,0.0008
1649321614694,43496.68,1.42752,43501.0,0.0009
1649321614694,43496.49,1.16,43501.1,0.82486
1649321614694,43496.45,1.27665,43501.11,0.59044
1649321614694,43496.38,1.05383,43501.48,0.23015
1649321614694,43496.11,0.23371,43501.66,1.16714
1649321614694,43496.1,0.04552,43502.59,0.00345
1649321614694,43496.09,0.2279,43503.45,0.00202
1649321614694,43496.08,0.24701,43503.61,0.75
1649321614694,43495.63,0.2279,43504.23,0.00108
1649321614694,43495.62,0.04552,43504.35,0.01959
1649321614694,43495.59,0.2279,43505.0,0.24825
1649321614694,43495.58,0.52752,43505.59,1.21696
1649321614694,43494.55,0.12581,43506.27,3.82632
1649321614694,43494.46,0.31033,43506.39,0.24
1649321614694,43494.39,0.17705,43506.54,0.00108
1649321616692,43499.12,0.63288,43499.13,13.18801
1649321616692,43498.75,0.00863,43499.2,0.75
1649321616692,43498.7,0.05714,43499.33,0.32
1649321616692,43498.63,0.008,43499.95,0.01603
1649321616692,43498.56,0.00374,43500.0,0.29557
1649321616692,43498.07,0.0249,43500.01,0.01092
1649321616692,43496.6,0.00565,43500.8,0.0008
1649321616692,43496.11,0.23371,43501.0,0.00549
1649321616692,43495.62,0.04552,43501.1,0.82486
1649321616692,43495.58,0.04552,43501.11,0.59044
1649321616692,43494.47,0.31813,43501.48,0.23015
1649321616692,43494.46,0.31033,43501.66,1.16714
1649321616692,43493.82,0.1232,43502.5,0.31036
1649321616692,43493.59,0.75,43502.59,0.00345
1649321616692,43492.88,0.05,43503.45,0.00202
1649321616692,43492.6,0.00869,43503.48,0.36
1649321616692,43492.05,0.08894,43503.59,0.02299
1649321616692,43490.02,0.04342,43504.23,0.00108
1649321616692,43490.01,0.48084,43504.35,0.01584
1649321616692,43490.0,0.2279,43505.0,0.25315
1649321618693,43499.12,0.33095,43499.13,13.54566
1649321618693,43498.7,0.05714,43499.2,0.75
1649321618693,43498.63,0.008,43499.95,0.01603
1649321618693,43498.56,0.00374,43499.97,0.07175
1649321618693,43498.41,0.023,43500.0,0.29557
1649321618693,43496.6,0.00565,43500.01,0.01092
1649321618693,43496.11,0.00045,43500.8,0.0008
1649321618693,43495.62,0.04552,43501.0,0.00549
1649321618693,43495.58,0.04552,43501.1,0.82486
1649321618693,43493.82,0.1232,43501.11,0.59044
1649321618693,43492.6,0.00869,43501.48,0.23015
1649321618693,43492.47,0.25168,43501.66,1.16714
1649321618693,43492.46,0.75,43502.5,0.31036
1649321618693,43492.05,0.08894,43502.59,0.00345
1649321618693,43490.02,0.04342,43503.45,0.00202
1649321618693,43490.01,0.48084,43503.48,0.36
1649321618693,43490.0,0.2279,43503.59,0.02299
1649321618693,43489.99,0.36301,43504.22,0.023
1649321618693,43488.69,0.68926,43504.23,0.00108
1649321618693,43488.43,1.24676,43504.35,0.01584
1649321620691,43499.12,4.47755,43499.13,5.49987
1649321620691,43498.7,0.06577,43499.95,0.01603
1649321620691,43498.67,0.14957,43500.0,0.28993
1649321620691,43498.63,0.008,43500.01,0.01092
1649321620691,43498.56,0.00374,43500.37,0.75
1649321620691,43497.02,0.05426,43500.8,0.0008
1649321620691,43496.85,0.75,43501.0,0.00549
1649321620691,43496.84,0.05426,43501.1,0.82486
1649321620691,43496.6,0.00565,43501.11,0.59044
1649321620691,43496.11,0.00045,43501.48,0.23015
1649321620691,43495.74,0.31035,43501.66,1.16714
1649321620691,43495.62,0.04552,43502.59,0.11839
1649321620691,43495.58,0.04552,43503.45,0.00202
1649321620691,43494.77,0.36,43503.59,0.02299
1649321620691,43493.82,0.23814,43504.22,0.023
1649321620691,43492.6,0.00869,43504.23,0.00108
1649321620691,43492.05,0.08894,43504.35,0.01584
1649321620691,43490.02,0.04342,43505.0,0.25315
1649321620691,43490.01,0.48084,43505.32,0.00564
1649321620691,43490.0,0.2279,43506.16,1.18359
1649321621699,43499.12,4.95717,43499.13,1.04035
1649321621699,43498.7,0.06577,43499.95,0.01603
1649321621699,43498.67,0.14957,43500.0,0.28993
1649321621699,43498.63,0.008,43500.01,0.01092
1649321621699,43498.56,0.00374,43500.39,0.08
1649321621699,43498.1,0.31033,43500.8,0.0008
1649321621699,43497.02,0.05426,43501.0,0.00549
1649321621699,43496.85,0.75,43501.1,0.82486
1649321621699,43496.84,0.05426,43501.11,0.59044
1649321621699,43496.6,0.00565,43501.48,0.23015
1649321621699,43496.11,0.00045,43501.66,1.16714
1649321621699,43495.74,0.42529,43501.69,0.1
1649321621699,43495.62,0.04552,43501.74,0.08
1649321621699,43495.58,0.04552,43502.08,0.11
1649321621699,43494.77,0.36,43502.59,0.00345
1649321621699,43493.82,0.1232,43502.74,0.75
1649321621699,43492.6,0.00869,43503.34,0.27494
1649321621699,43492.05,0.08894,43503.45,0.00202
1649321621699,43490.02,0.04342,43503.59,0.02299
1649321621699,43490.01,0.48084,43504.23,0.00108
1649321623695,43499.12,4.0432,43499.13,6.81812
1649321623695,43498.7,0.06577,43499.56,0.07175
1649321623695,43498.69,0.1076,43499.95,0.01603
1649321623695,43498.63,0.008,43500.0,0.28993
1649321623695,43498.56,0.00374,43500.01,0.01092
1649321623695,43496.97,0.05395,43500.8,0.11574
1649321623695,43496.6,0.00565,43501.0,0.00549
1649321623695,43496.11,0.00045,43501.1,0.82486
1649321623695,43495.62,0.04552,43501.11,0.59044
1649321623695,43495.58,0.04552,43501.48,0.23015
1649321623695,43495.35,0.75,43501.49,0.32
1649321623695,43494.77,0.36,43501.57,0.00564
1649321623695,43493.82,0.1232,43501.66,1.16714
1649321623695,43492.69,0.11494,43502.59,0.00345
1649321623695,43492.6,0.00434,43502.74,0.75
1649321623695,43492.05,0.08894,43502.79,0.32
1649321623695,43490.69,0.32259,43502.84,0.24
1649321623695,43490.02,0.04342,43503.19,0.32
1649321623695,43490.01,0.48084,43503.45,0.00202
1649321623695,43490.0,0.2279,43503.48,0.36
1649321625695,43499.12,1.11033,43499.13,11.36045
1649321625695,43498.7,0.06577,43499.56,0.00275
1649321625695,43498.63,0.008,43499.95,0.01603
1649321625695,43498.56,0.00374,43500.0,0.28993
1649321625695,43496.6,0.00565,43500.01,0.01092
1649321625695,43496.27,0.31035,43500.8,0.11574
1649321625695,43496.11,0.00045,43501.0,0.00549
1649321625695,43495.62,0.04552,43501.1,0.82486
1649321625695,43495.58,0.04552,43501.11,0.59044
1649321625695,43495.36,0.33308,43501.48,0.23015
1649321625695,43495.35,0.75,43501.49,0.32
1649321625695,43494.77,0.36,43501.57,0.00564
1649321625695,43493.82,0.1232,43501.66,1.16714
