s,S,T,u,b,a,v,ra,rv,m,c,h,l,cw,hw,lw,cm,hm,lm,ha,la
bitcoin,BTC,1649322948951,43508.775,1.0,412515.24,18105688113.63,699202.17,30601945102.0,826848896241.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322950882,43512.759,1.0,412513.59,18105559339.56,699200.52,30601816328.0,826924608922.0,-0.0427,45535.71484375,42941.021,-0.0809,47621.315,42941.021,0.1177,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322952663,43513.448,1.0,412515.12,18105627263.65,699202.05,30601884252.0,826937702807.0,-0.0427,45535.71484375,42941.021,-0.0809,47621.315,42941.021,0.1177,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322953924,43508.549,1.0,412507.99,18105292779.87,699194.92,30601549769.0,826844601295.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322955783,43508.604,1.0,412508.07,18105295304.39,699195.0,30601552293.0,826845646525.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322957448,43510.557,1.0,412512.32,18105493336.66,699199.25,30601750326.0,826882761702.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322960057,43508.637,1.0,412494.94,18104697007.98,699181.87,30600953997.0,826846273663.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322961747,43508.703,1.0,412494.88,18104691639.17,699181.8,30600948628.0,826847527939.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322963902,43508.519,1.0,412495.17,18104701174.94,699182.1,30600958164.0,826844031169.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322964972,43508.587,1.0,412496.2,18104756460.96,699183.13,30601013450.0,826845323454.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322966683,43508.668,1.0,412495.21,18104709389.19,699182.13,30600966378.0,826846862793.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322968536,43508.463,1.0,412494.8,18104693365.16,699181.72,30600950354.0,826842966935.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322970922,43508.459,1.0,412494.93,18104698494.25,699181.85,30600955483.0,826842890918.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322973012,43508.496,1.0,412493.84,18104640551.58,699180.77,30600897540.0,826843594073.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322973879,43508.715,1.0,412495.76,18104756023.89,699182.69,30601013013.0,826847755990.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322975943,43509.121,1.0,412495.53,18104826676.16,699182.46,30601083665.0,826855471690.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322977989,43509.247,1.0,412496.45,18104865163.84,699183.38,30601122153.0,826857866217.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322979832,43509.218,1.0,412496.45,18104866043.57,699183.38,30601123032.0,826857315096.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322981956,43509.258,1.0,412497.6,18104936296.88,699184.53,30601193286.0,826858075263.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
bitcoin,BTC,1649322983967,43508.693,1.0,412499.67,18105020478.06,699186.6,30601277467.0,826847337898.0,-0.0428,45535.71484375,42941.021,-0.081,47621.315,42941.021,0.1176,48170.313,37836.057,69273.132,0.0495
