T,p,v,s
1649307179984,43489.19,0.0003,1
1649307179986,43489.18,0.00135,-1
1649307179987,43489.18,0.00042,-1
1649307179988,43489.19,0.00075,1
1649307179988,43489.19,0.00042,1
1649307179989,43489.18,0.00093,-1
1649307179990,43489.19,0.00111,1
1649307179991,43489.19,0.00147,1
1649307179992,43489.18,0.00084,-1
1649307179993,43489.19,0.00034,1
1649307179994,43489.19,0.00051,1
1649307179994,43489.19,0.00037,1
1649307179994,43489.19,0.00035,1
1649307179997,43489.19,0.00034,1
1649307179997,43489.19,0.00134,1
1649307179998,43489.19,0.00042,1
1649307179999,43489.18,0.00065,-1
1649307180000,43489.19,0.00026,1
1649307180001,43489.19,0.00157,1
1649307180004,43489.18,0.00144,-1
1649307180007,43489.18,0.00203,-1
1649307180007,43489.18,0.00046,-1
1649307180007,43489.19,0.00054,1
1649307180007,43489.18,0.00063,-1
1649307180008,43489.19,0.0005,1
1649307180009,43489.18,0.00089,-1
1649307180011,43489.19,0.00117,1
1649307180012,43489.18,0.00033,-1
1649307180012,43489.18,0.0003,-1
1649307180014,43489.18,0.00098,-1
1649307180015,43489.19,0.00025,1
1649307180016,43489.19,0.0005,1
1649307180020,43489.19,0.00034,1
1649307180023,43489.19,0.00032,1
1649307180024,43489.19,0.00054,1
1649307180028,43489.19,0.00062,1
1649307180029,43489.18,0.00046,-1
1649307180030,43489.18,0.00039,-1
1649307180032,43489.18,0.00071,-1
1649307180033,43489.18,0.00097,-1
1649307180033,43489.19,0.00064,1
1649307180034,43489.19,0.00074,1
1649307180040,43489.19,0.00062,1
1649307180040,43489.18,0.00056,-1
1649307180041,43489.18,0.00092,-1
1649307180045,43489.19,0.00032,1
1649307180046,43489.19,0.00123,1
1649307180048,43489.18,0.00031,-1
1649307180050,43489.18,0.00072,-1
1649307180152,43489.19,0.02299,1
1649307211338,43472.06,0.00895,-1
1649307211506,43472.06,0.00843,-1
1649307211506,43471.5,0.0037,-1
1649307211506,43471.3,0.008,-1
1649307211506,43470.0,0.05317,-1
1649307211506,43465.5,0.16363,-1
1649307211550,43465.51,0.00229,1
1649307211620,43465.51,0.00299,1
1649307211657,43465.51,0.00508,1
1649307211687,43465.51,0.00491,1
1649307211756,43465.51,0.0003,1
1649307211776,43465.51,0.05,1
1649307211816,43465.51,0.00634,1
1649307212062,43465.51,0.06566,1
1649307212366,43465.51,0.01779,1
1649307212401,43465.51,0.00127,1
1649307212467,43465.51,0.00247,1
1649307212898,43465.51,0.00723,1
1649307213080,43465.5,0.00049,-1
1649307213103,43465.5,0.033,-1
1649307213122,43465.51,0.00638,1
1649307213129,43465.5,0.00047,-1
1649307213166,43465.5,0.00115,-1
1649307213254,43464.87,0.008,-1
1649307213254,43464.63,0.00513,-1
1649307213282,43463.03,0.0023,-1
1649307213298,43462.52,0.00136,-1
1649307213308,43462.52,0.00115,-1
1649307213390,43461.0,0.00346,-1
1649307213468,43460.84,0.01295,-1
1649307213553,43460.85,0.00206,1
1649307213622,43460.84,0.033,-1
1649307213645,43460.84,0.00515,-1
1649307213731,43460.84,0.00309,-1
1649307213831,43460.85,0.05242,1
1649307213880,43460.84,0.00681,-1
1649307213892,43460.84,0.00193,-1
1649307213907,43460.0,0.00365,-1
1649307213919,43455.72,0.00192,-1
1649307213966,43455.73,0.00073,1
1649307213972,43455.73,0.05,1
1649307214024,43455.72,0.00046,-1
1649307214156,43455.72,0.00046,-1
1649307214170,43455.73,0.01616,1
1649307214355,43455.73,0.00037,1
1649307214365,43455.73,0.00037,1
1649307214387,43455.73,0.00037,1
1649307214507,43455.73,0.00043,1
1649307214820,43455.72,0.00466,-1
1649307214963,43454.86,0.0028,-1
1649307211338,43472.06,0.00895,-1
1649307211506,43472.06,0.00843,-1
1649307211506,43471.5,0.0037,-1
1649307211506,43471.3,0.008,-1
1649307211506,43470.0,0.05317,-1
1649307211506,43465.5,0.16363,-1
1649307211550,43465.51,0.00229,1
1649307211620,43465.51,0.00299,1
1649307211657,43465.51,0.00508,1
1649307211687,43465.51,0.00491,1
1649307211756,43465.51,0.0003,1
1649307211776,43465.51,0.05,1
1649307211816,43465.51,0.00634,1
1649307212062,43465.51,0.06566,1
1649307212366,43465.51,0.01779,1
1649307212401,43465.51,0.00127,1
1649307212467,43465.51,0.00247,1
1649307212898,43465.51,0.00723,1
1649307213080,43465.5,0.00049,-1
1649307213103,43465.5,0.033,-1
1649307213122,43465.51,0.00638,1
1649307213129,43465.5,0.00047,-1
1649307213166,43465.5,0.00115,-1
1649307213254,43464.87,0.008,-1
1649307213254,43464.63,0.00513,-1
1649307213282,43463.03,0.0023,-1
1649307213298,43462.52,0.00136,-1
1649307213308,43462.52,0.00115,-1
1649307213390,43461.0,0.00346,-1
1649307213468,43460.84,0.01295,-1
1649307213553,43460.85,0.00206,1
1649307213622,43460.84,0.033,-1
1649307213645,43460.84,0.00515,-1
1649307213731,43460.84,0.00309,-1
1649307213831,43460.85,0.05242,1
1649307213880,43460.84,0.00681,-1
1649307213892,43460.84,0.00193,-1
1649307213907,43460.0,0.00365,-1
1649307213919,43455.72,0.00192,-1
1649307213966,43455.73,0.00073,1
1649307213972,43455.73,0.05,1
1649307214024,43455.72,0.00046,-1
1649307214156,43455.72,0.00046,-1
1649307214170,43455.73,0.01616,1
1649307214355,43455.73,0.00037,1
1649307214365,43455.73,0.00037,1
1649307214387,43455.73,0.00037,1
1649307214507,43455.73,0.00043,1
1649307214820,43455.72,0.00466,-1
1649307214963,43454.86,0.0028,-1
1649307211338,43472.06,0.00895,-1
1649307211506,43472.06,0.00843,-1
1649307211506,43471.5,0.0037,-1
1649307211506,43471.3,0.008,-1
1649307211506,43470.0,0.05317,-1
1649307211506,43465.5,0.16363,-1
1649307211550,43465.51,0.00229,1
1649307211620,43465.51,0.00299,1
1649307211657,43465.51,0.00508,1
1649307211687,43465.51,0.00491,1
1649307211756,43465.51,0.0003,1
1649307211776,43465.51,0.05,1
1649307211816,43465.51,0.00634,1
1649307212062,43465.51,0.06566,1
1649307212366,43465.51,0.01779,1
1649307212401,43465.51,0.00127,1
1649307212467,43465.51,0.00247,1
1649307212898,43465.51,0.00723,1
1649307213080,43465.5,0.00049,-1
1649307213103,43465.5,0.033,-1
1649307213122,43465.51,0.00638,1
1649307213129,43465.5,0.00047,-1
1649307213166,43465.5,0.00115,-1
1649307213254,43464.87,0.008,-1
1649307213254,43464.63,0.00513,-1
1649307213282,43463.03,0.0023,-1
1649307213298,43462.52,0.00136,-1
1649307213308,43462.52,0.00115,-1
1649307213390,43461.0,0.00346,-1
1649307213468,43460.84,0.01295,-1
1649307213553,43460.85,0.00206,1
1649307213622,43460.84,0.033,-1
1649307213645,43460.84,0.00515,-1
1649307213731,43460.84,0.00309,-1
1649307213831,43460.85,0.05242,1
1649307213880,43460.84,0.00681,-1
1649307213892,43460.84,0.00193,-1
1649307213907,43460.0,0.00365,-1
1649307213919,43455.72,0.00192,-1
1649307213966,43455.73,0.00073,1
1649307213972,43455.73,0.05,1
1649307214024,43455.72,0.00046,-1
1649307214156,43455.72,0.00046,-1
1649307214170,43455.73,0.01616,1
1649307214355,43455.73,0.00037,1
1649307214365,43455.73,0.00037,1
1649307214387,43455.73,0.00037,1
1649307214507,43455.73,0.00043,1
1649307214820,43455.72,0.00466,-1
1649307214963,43454.86,0.0028,-1
1649307302067,43440.29,0.19996,-1
1649307302071,43440.29,0.02278,-1
1649307302085,43438.79,0.0003,-1
1649307302105,43436.27,0.0054,-1
1649307302105,43436.25,0.00024,-1
1649307302105,43435.19,0.008,-1
1649307302105,43432.8,0.00913,-1
1649307302363,43433.52,0.001,-1
1649307302560,43433.53,0.05,1
1649307302687,43433.52,0.00126,-1
1649307302818,43429.72,0.00024,-1
1649307302823,43429.73,0.00287,1
1649307302831,43429.72,0.00024,-1
1649307302871,43427.16,0.0017,1
1649307302873,43427.15,0.00393,-1
1649307303361,43425.81,0.0006,-1
1649307303398,43425.82,0.17095,1
1649307303435,43425.81,0.05987,-1
1649307303526,43425.81,0.01282,-1
1649307303579,43425.82,0.00094,1
1649307303940,43425.82,0.00149,1
1649307303972,43425.82,0.00079,1
1649307304038,43425.82,0.00051,1
1649307304321,43425.81,0.00025,-1
1649307304911,43425.82,0.05,1
1649307305158,43425.81,0.0028,-1
1649307306519,43425.81,0.0316,-1
1649307306532,43425.81,1e-05,-1
1649307306598,43425.52,0.00131,1
1649307307203,43425.52,0.05,1
1649307307407,43425.51,0.11376,-1
1649307307407,43425.32,0.008,-1
1649307307407,43425.25,0.0037,-1
1649307307432,43420.66,0.00412,-1
1649307307576,43420.66,0.00115,-1
1649307307593,43420.64,0.00024,-1
1649307307613,43416.64,0.00507,-1
1649307307638,43416.65,0.10317,1
1649307307707,43416.65,0.00672,1
1649307307781,43416.65,0.00168,1
1649307308331,43416.65,0.00168,1
1649307308562,43416.64,0.01094,-1
1649307308623,43416.64,0.00443,-1
1649307308829,43416.65,0.07201,1
1649307308856,43416.64,0.072,-1
1649307308875,43416.65,0.01151,1
1649307308884,43416.65,0.07182,1
1649307308906,43416.65,0.00604,1
1649307309025,43416.65,0.00333,1
1649307309058,43416.65,0.00043,1
1649307324817,43418.76,0.05,1
1649307324902,43418.76,0.00046,1
1649307325201,43418.76,0.2,1
1649307325202,43418.75,0.0028,-1
1649307325873,43418.75,0.00046,-1
1649307326162,43418.76,0.00457,1
1649307326386,43418.76,0.00034,1
1649307326401,43418.76,0.10304,1
1649307326416,43419.3,0.0037,1
1649307326416,43419.3,0.00439,1
1649307326416,43419.32,0.0037,1
1649307326416,43420.0,0.04797,1
1649307326416,43420.01,0.03376,1
1649307326419,43419.3,0.00809,1
1649307326425,43419.3,0.01495,1
1649307326425,43419.99,0.05167,1
1649307326426,43420.01,0.09325,1
1649307326671,43424.14,0.00115,1
1649307326711,43425.19,0.1,1
1649307326764,43428.31,0.05633,-1
1649307326850,43428.31,0.0689,-1
1649307326926,43428.31,0.60329,-1
1649307327002,43428.31,0.00159,-1
1649307327010,43428.32,0.05,1
1649307327141,43428.31,0.01151,-1
1649307327257,43428.31,0.00047,-1
1649307327260,43428.32,0.0006,1
1649307327393,43428.31,0.00026,-1
1649307328178,43428.31,0.01097,-1
1649307328273,43428.31,0.00046,-1
1649307328836,43428.31,0.00032,-1
1649307329029,43428.31,0.00171,-1
1649307329293,43428.32,0.01844,1
1649307329293,43430.6,0.03156,1
1649307329476,43430.59,0.00131,-1
1649307329559,43430.59,0.00037,-1
1649307330216,43430.59,0.0028,-1
1649307330885,43430.59,0.0072,-1
1649307331569,43430.6,0.05,1
1649307331791,43430.59,0.0086,-1
1649307331793,43430.59,0.02721,-1
1649307331933,43430.59,0.00737,-1
1649307333039,43430.59,0.0072,-1
1649307333209,43430.59,0.0023,-1
1649307333535,43430.59,0.00219,-1
1649307333595,43430.59,0.00097,-1
1649307333734,43430.59,0.00068,-1
1649307333752,43430.6,0.05,1
1649307334212,43430.6,0.00719,1
1649307334215,43430.59,0.0072,-1
1649307324817,43418.76,0.05,1
1649307324902,43418.76,0.00046,1
1649307325201,43418.76,0.2,1
1649307325202,43418.75,0.0028,-1
1649307325873,43418.75,0.00046,-1
1649307326162,43418.76,0.00457,1
1649307326386,43418.76,0.00034,1
1649307326401,43418.76,0.10304,1
1649307326416,43419.3,0.0037,1
1649307326416,43419.3,0.00439,1
1649307326416,43419.32,0.0037,1
1649307326416,43420.0,0.04797,1
1649307326416,43420.01,0.03376,1
1649307326419,43419.3,0.00809,1
1649307326425,43419.3,0.01495,1
1649307326425,43419.99,0.05167,1
1649307326426,43420.01,0.09325,1
1649307326671,43424.14,0.00115,1
1649307326711,43425.19,0.1,1
1649307326764,43428.31,0.05633,-1
1649307326850,43428.31,0.0689,-1
1649307326926,43428.31,0.60329,-1
1649307327002,43428.31,0.00159,-1
1649307327010,43428.32,0.05,1
1649307327141,43428.31,0.01151,-1
1649307327257,43428.31,0.00047,-1
1649307327260,43428.32,0.0006,1
1649307327393,43428.31,0.00026,-1
1649307328178,43428.31,0.01097,-1
1649307328273,43428.31,0.00046,-1
1649307328836,43428.31,0.00032,-1
